Cod_Div,Municipio,Humedad
86568,PUERTO ASÍS,90.28999999999999
86569,PUERTO CAICEDO,90.0775
86571,PUERTO GUZMÁN,89.52875
86573,PUERTO LEGUÍZAMO,91.8225
88000,SAN ANDRÉS,81.61875
88564,PROVIDENCIA,80.0725
91001,LETICIA,89.33125
91263,EL ENCANTO,90.285
91405,LA CHORRERA,89.935
91407,LA PEDRERA,87.56
91460,MIRITÍ - PARANÁ,87.44375
91530,PUERTO ALEGRÍA,89.9725
91536,PUERTO ARICA,88.6725
91540,PUERTO NARIÑO,87.97875
91669,PUERTO SANTANDER,87.775
94001,INÍRIDA,89.70625
94343,BARRANCO MINAS,87.52875
94663,MAPIRIPANA,88.08624999999999
94884,PUERTO COLOMBIA,89.0325
94885,LA GUADALUPE,89.2025
94886,CACAHUAL,88.82625
94887,PANA PANA,88.33624999999999
94888,MORICHAL,86.30875
95015,CALAMAR,93.07875
95025,EL RETORNO,92.22
95200,MIRAFLORES,89.63624999999999
97001,MITÚ,87.53875000000001
